# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
JVM.totalCpuTimeMs,1742026091000000000,1742026151015000000,38504
OS.loadAverage,1742026091000000000,1742026151015000000,3.07177734375
JVM.maxHeapBytes,1742026091000000000,1742026151015000000,2147483648
JVM.GC.collections,1742026091000000000,1742026151015000000,25
JVM.threadCount,1742026091000000000,1742026151015000000,121
JVM.GC.collectionTimesMs,1742026091000000000,1742026151015000000,116
JVM.maxNativeBytes,1742026091000000000,1742026151015000000,-1
JVM.usedNativeBytes,1742026091000000000,1742026151015000000,323000368
JVM.usedHeapBytes,1742026091000000000,1742026151015000000,333538840
JVM.totalBytesAllocated,1742026091000000000,1742026151015000000,1910728376
AWTEventQueue.eventsDispatched,1742026091000000000,1742026151015000000,4742
FlushQueue.tasksExecuted,1742026091000000000,1742026151015000000,1381
FlushQueue.executionTime90PNs,1742026091000000000,1742026151015000000,509951
NonBlockingReadAction.failedExecutionsCount,1742026091000000000,1742026151015000000,0
AWTEventQueue.dispatchTimeAvgNs,1742026091000000000,1742026151015000000,1227825.5267819485
FlushQueue.queueSizeMax,1742026091000000000,1742026151015000000,132
FlushQueue.executionTimeAvgNs,1742026091000000000,1742026151015000000,3149973.1354091237
AWTEventQueue.dispatchTimeTotalNS,1742026091000000000,1742026151015000000,5822885573
NonBlockingReadAction.finalizedExecutionTimeUs,1742026091000000000,1742026151015000000,486506
NonBlockingReadAction.finalizedExecutionsCount,1742026091000000000,1742026151015000000,23
FlushQueue.queueSizeAvg,1742026091000000000,1742026151015000000,24.422881969587255
AWTEventQueue.dispatchTime90PNs,1742026091000000000,1742026151015000000,884735
FlushQueue.waitingTimeMaxNs,1742026091000000000,1742026151015000000,834666495
FlushQueue.waitingTimeAvgNs,1742026091000000000,1742026151015000000,8.22664934800869E7
NonBlockingReadAction.failedExecutionTimeUs,1742026091000000000,1742026151015000000,0
FlushQueue.waitingTime90PNs,1742026091000000000,1742026151015000000,235929599
WriteAction.executionsCount,1742026091000000000,1742026151015000000,10
FlushQueue.queueSize90P,1742026091000000000,1742026151015000000,89
FlushQueue.executionTimeMaxNs,1742026091000000000,1742026151015000000,2055208959
ReadAction.executionsCount,1742026091000000000,1742026151015000000,94800
AWTEventQueue.dispatchTimeMaxNs,1742026091000000000,1742026151015000000,666894335
FilePageCacheLockFree.totalBytesWritten,1742026091000000000,1742026151015000000,0
FilePageCacheLockFree.totalPagesWriteMs,1742026091000000000,1742026151015000000,0
StreamlinedBlobStorage.recordsDeleted,1742026091000000000,1742026151015000000,20
FileChannelInterruptsRetryer.totalRetriedAttempts,1742026091000000000,1742026151015000000,0
FilePageCache.uncachedFileAccess,1742026091000000000,1742026151015000000,170
FilePageCache.totalPageDisposalsUs,1742026091000000000,1742026151015000000,3234
FilePageCacheLockFree.housekeeperTurnsSkipped,1742026091000000000,1742026151015000000,47183
DirectByteBufferAllocator.misses,1742026091000000000,1742026151015000000,240
FilePageCacheLockFree.housekeeperTurnsDone,1742026091000000000,1742026151015000000,120
FilePageCacheLockFree.totalNativeBytesAllocated,1742026091000000000,1742026151015000000,24576
FilePageCacheLockFree.totalPagesRequestsMs,1742026091000000000,1742026151015000000,15
DirectByteBufferAllocator.reclaimed,1742026091000000000,1742026151015000000,22
FilePageCacheLockFree.totalNativeBytesReclaimed,1742026091000000000,1742026151015000000,0
FilePageCacheLockFree.totalPagesAllocated,1742026091000000000,1742026151015000000,3
FilePageCache.maxCacheSizeInBytes,1742026091000000000,1742026151015000000,246431744
StorageLockContext.competingThreads.max,1742026091000000000,1742026151015000000,1
MappedFileStorage.totalBytesMapped,1742026091000000000,1742026151015000000,128188416
FilePageCache.capacityInBytes,1742026091000000000,1742026151015000000,503316478
FilePageCacheLockFree.totalPagesRequested,1742026091000000000,1742026151015000000,7
FilePageCacheLockFree.totalPagesWritten,1742026091000000000,1742026151015000000,0
MappedFileStorage.storages,1742026091000000000,1742026151015000000,14
FilePageCache.pageFastCacheHits,1742026091000000000,1742026151015000000,5652
FilePageCache.pageLoads,1742026091000000000,1742026151015000000,259
FilePageCacheLockFree.nativeBytesInUse,1742026091000000000,1742026151015000000,24576
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1742026091000000000,1742026151015000000,2615162
StreamlinedBlobStorage.recordsRelocated,1742026091000000000,1742026151015000000,0
FilePageCacheLockFree.totalPagesReclaimed,1742026091000000000,1742026151015000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1742026091000000000,1742026151015000000,246456320
FilePageCacheLockFree.totalPagesHandedOver,1742026091000000000,1742026151015000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1742026091000000000,1742026151015000000,0
FilePageCache.disposedBuffers,1742026091000000000,1742026151015000000,22
MappedFileStorage.totalTimeSpentOnMappingUs,1742026091000000000,1742026151015000000,647
StorageLockContext.competingThreads.avg,1742026091000000000,1742026151015000000,0.00847457627118644
FilePageCacheLockFree.housekeeperTimeSpentMs,1742026091000000000,1742026151015000000,128
StreamlinedBlobStorage.recordsAllocated,1742026091000000000,1742026151015000000,32393
