# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexes.stubs.lookups,1742026514180000000,1742026574219000000,0.0
IndexesFlusher.totalFlushesRetried,1742026514180000000,1742026574219000000,0
Indexes.entries.lookupDurationMaxMs,1742026514180000000,1742026574219000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1742026514180000000,1742026574219000000,0.0
Indexes.stubs.lookupDurationMaxMs,1742026514180000000,1742026574219000000,0.0
IndexesFlusher.totalContentionQuotaSpent,1742026514180000000,1742026574219000000,0
Indexes.entries.lookupDuration90PMs,1742026514180000000,1742026574219000000,0.0
Indexes.allKeys.lookups,1742026514180000000,1742026574219000000,0.0
Indexes.entries.lookupDurationAvgMs,1742026514180000000,1742026574219000000,0.0
Indexes.stubs.lookupDuration90PMs,1742026514180000000,1742026574219000000,0.0
Indexes.stubs.lookupDurationAvgMs,1742026514180000000,1742026574219000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1742026514180000000,1742026574219000000,0.0
IndexesFlusher.totalFlushingTimeUs,1742026514180000000,1742026574219000000,247089
Indexes.entries.lookups,1742026514180000000,1742026574219000000,0.0
Indexes.allKeys.lookupDuration90PMs,1742026514180000000,1742026574219000000,0.0
IndexesFlusher.totalFlushes,1742026514180000000,1742026574219000000,56
workspaceModel.updates.ms,1742026514180000000,1742026574219000000,52
workspaceModel.initializing.ms,1742026514180000000,1742026574219000000,1
workspaceModel.init.bridges.ms,1742026514180000000,1742026574219000000,1
workspaceModel.pre.handlers.ms,1742026514180000000,1742026574219000000,0
workspaceModel.collect.changes.ms,1742026514180000000,1742026574219000000,0
workspaceModel.replace.project.model.ms,1742026514180000000,1742026574219000000,0
workspaceModel.updates.count,1742026514180000000,1742026574219000000,3
workspaceModel.check.recursive.update.ms,1742026514180000000,1742026574219000000,0
workspaceModel.loading.from.cache.ms,1742026514180000000,1742026574219000000,160
workspaceModel.loading.total.ms,1742026514180000000,1742026574219000000,173
workspaceModel.update.unloaded.entities.ms,1742026514180000000,1742026574219000000,0
workspaceModel.to.snapshot.ms,1742026514180000000,1742026574219000000,0
workspaceModel.updates.precise.ms,1742026514180000000,1742026574219000000,16
workspaceModel.mutableEntityStorage.collect.changes.ms,1742026514180000000,1742026574219000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1742026514180000000,1742026574219000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1742026514180000000,1742026574219000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1742026514180000000,1742026574219000000,2
jps.project.serializers.load.ms,1742026514180000000,1742026574219000000,21
jps.library.entities.serializer.save.entities.ms,1742026514180000000,1742026574219000000,0
jps.module.iml.entities.serializer.save.entities.ms,1742026514180000000,1742026574219000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1742026514180000000,1742026574219000000,34826
workspaceModel.moduleBridge.facet.initialization.ms,1742026514180000000,1742026574219000000,1
workspaceModel.mutableEntityStorage.referrers.ms,1742026514180000000,1742026574219000000,0
jps.global.get.library.ms,1742026514180000000,1742026574219000000,0
workspaceModel.load.cache.metadata.from.file.ms,1742026514180000000,1742026574219000000,25
workspaceModel.mutableEntityStorage.add.diff.ms,1742026514180000000,1742026574219000000,4
workspaceModel.mutableEntityStorage.replace.by.source.ms,1742026514180000000,1742026574219000000,8
jps.module.iml.entities.serializer.load.entities.ms,1742026514180000000,1742026574219000000,8
workspaceModel.orphan.listener.update.ms,1742026514180000000,1742026574219000000,2
jps.global.get.library.by.name.ms,1742026514180000000,1742026574219000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1742026514180000000,1742026574219000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1742026514180000000,1742026574219000000,0
jps.artifact.entities.serializer.save.entities.ms,1742026514180000000,1742026574219000000,0
jps.project.serializers.save.ms,1742026514180000000,1742026574219000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1742026514180000000,1742026574219000000,20
jps.global.get.libraries.ms,1742026514180000000,1742026574219000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1742026514180000000,1742026574219000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1742026514180000000,1742026574219000000,3
workspaceModel.moduleBridge.before.changed.ms,1742026514180000000,1742026574219000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1742026514180000000,1742026574219000000,37
workspaceModel.global.updates.ms,1742026514180000000,1742026574219000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1742026514180000000,1742026574219000000,0
jps.storage.jps.conf.reader.load.component.ms,1742026514180000000,1742026574219000000,6
workspaceModel.mutableEntityStorage.entities.ms,1742026514180000000,1742026574219000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1742026514180000000,1742026574219000000,0
jps.artifact.entities.serializer.load.entities.ms,1742026514180000000,1742026574219000000,0
jps.apply.loaded.storage.ms,1742026514180000000,1742026574219000000,34775
jps.app.storage.content.reader.load.component.ms,1742026514180000000,1742026574219000000,1
jps.facet.change.listener.init.bridge.ms,1742026514180000000,1742026574219000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1742026514180000000,1742026574219000000,0
jps.global.initialize.library.bridges.after.loading.ms,1742026514180000000,1742026574219000000,0
jps.load.initial.state.ms,1742026514180000000,1742026574219000000,17
workspaceModel.save.cache.to.file.ms,1742026514180000000,1742026574219000000,107
workspaceModel.mutableEntityStorage.has.same.entities.ms,1742026514180000000,1742026574219000000,0
jps.library.entities.serializer.load.entities.ms,1742026514180000000,1742026574219000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1742026514180000000,1742026574219000000,349
workspaceModel.sync.entities.ms,1742026514180000000,1742026574219000000,0
jps.facet.change.listener.process.change.events.ms,1742026514180000000,1742026574219000000,0
jps.save.global.entities.ms,1742026514180000000,1742026574219000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1742026514180000000,1742026574219000000,4
jps.load.project.to.empty.storage.ms,1742026514180000000,1742026574219000000,48
jps.reload.project.entities.ms,1742026514180000000,1742026574219000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1742026514180000000,1742026574219000000,0
workspaceModel.global.apply.state.to.project.ms,1742026514180000000,1742026574219000000,33
workspaceModel.moduleManagerBridge.get.modules.ms,1742026514180000000,1742026574219000000,0
jps.save.changed.project.entities.ms,1742026514180000000,1742026574219000000,0
jps.global.initialize.library.bridges.ms,1742026514180000000,1742026574219000000,0
jps.facet.change.listener.before.change.events.ms,1742026514180000000,1742026574219000000,0
workspaceModel.moduleBridge.update.option.ms,1742026514180000000,1742026574219000000,0
workspaceModel.load.cache.from.file.ms,1742026514180000000,1742026574219000000,157
workspaceModel.global.apply.state.to.project.builder.ms,1742026514180000000,1742026574219000000,0
workspaceModel.global.updates.count,1742026514180000000,1742026574219000000,0
jps.app.storage.content.writer.save.component.ms,1742026514180000000,1742026574219000000,0
jps.global.handle.before.change.events.ms,1742026514180000000,1742026574219000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1742026514180000000,1742026574219000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1742026514180000000,1742026574219000000,2
jps.global.handle.changed.events.ms,1742026514180000000,1742026574219000000,0
FileNameCache.totalMisses,1742026514180000000,1742026574219000000,68659
FileNameCache.queries,1742026514180000000,1742026574219000000,1061653
FilePageCache.pageLoads,1742026514180000000,1742026574219000000,259
StreamlinedBlobStorage.recordsRelocated,1742026514180000000,1742026574219000000,0
StorageLockContext.competingThreads.avg,1742026514180000000,1742026574219000000,0.0
MappedFileStorage.totalBytesMapped,1742026514180000000,1742026574219000000,128188416
FilePageCache.totalPageLoadsUs,1742026514180000000,1742026574219000000,138419
FilePageCacheLockFree.housekeeperTurnsDone,1742026514180000000,1742026574219000000,114
FilePageCacheLockFree.totalPagesReclaimed,1742026514180000000,1742026574219000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1742026514180000000,1742026574219000000,246456320
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1742026514180000000,1742026574219000000,0
FilePageCacheLockFree.totalBytesRead,1742026514180000000,1742026574219000000,13746
FilePageCache.pageFastCacheHits,1742026514180000000,1742026574219000000,5111
FilePageCacheLockFree.totalBytesRequested,1742026514180000000,1742026574219000000,57344
MappedFileStorage.storages,1742026514180000000,1742026574219000000,14
StreamlinedBlobStorage.recordsDeleted,1742026514180000000,1742026574219000000,20
MappedFileStorage.totalPagesMapped,1742026514180000000,1742026574219000000,14
FilePageCache.totalPageDisposalsUs,1742026514180000000,1742026574219000000,1270
FilePageCacheLockFree.totalPagesRequestsMs,1742026514180000000,1742026574219000000,7
DirectByteBufferAllocator.disposed,1742026514180000000,1742026574219000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1742026514180000000,1742026574219000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1742026514180000000,1742026574219000000,0
FilePageCacheLockFree.heapBytesInUse,1742026514180000000,1742026574219000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1742026514180000000,1742026574219000000,0
StorageLockContext.competingThreads.max,1742026514180000000,1742026574219000000,0
FilePageCacheLockFree.totalPagesAllocated,1742026514180000000,1742026574219000000,3
MappedFileStorage.totalTimeSpentOnMappingUs,1742026514180000000,1742026574219000000,652
FilePageCache.maxRegisteredFiles,1742026514180000000,1742026574219000000,571
StorageLockContext.competingThreads.90P,1742026514180000000,1742026574219000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1742026514180000000,1742026574219000000,24576
FilePageCacheLockFree.totalBytesWritten,1742026514180000000,1742026574219000000,0
FilePageCache.maxCacheSizeInBytes,1742026514180000000,1742026574219000000,246431744
FilePageCacheLockFree.totalPagesRequested,1742026514180000000,1742026574219000000,7
FilePageCacheLockFree.nativeBytesInUse,1742026514180000000,1742026574219000000,24576
FilePageCache.disposedBuffers,1742026514180000000,1742026574219000000,22
FilePageCacheLockFree.totalPagesReadMs,1742026514180000000,1742026574219000000,2
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1742026514180000000,1742026574219000000,2615162
FilePageCacheLockFree.totalHeapBytesAllocated,1742026514180000000,1742026574219000000,0
DirectByteBufferAllocator.misses,1742026514180000000,1742026574219000000,240
DirectByteBufferAllocator.hits,1742026514180000000,1742026574219000000,22
FilePageCacheLockFree.housekeeperTurnsSkipped,1742026514180000000,1742026574219000000,44307
FilePageCacheLockFree.totalPagesHandedOver,1742026514180000000,1742026574219000000,0
FilePageCache.uncachedFileAccess,1742026514180000000,1742026574219000000,170
FilePageCache.capacityInBytes,1742026514180000000,1742026574219000000,503316478
FilePageCache.pageHits,1742026514180000000,1742026574219000000,0
FilePageCacheLockFree.totalPagesWriteMs,1742026514180000000,1742026574219000000,0
StreamlinedBlobStorage.recordsAllocated,1742026514180000000,1742026574219000000,32393
FilePageCacheLockFree.totalClosedStoragesReclaimed,1742026514180000000,1742026574219000000,0
DirectByteBufferAllocator.reclaimed,1742026514180000000,1742026574219000000,22
FilePageCacheLockFree.totalPagesWritten,1742026514180000000,1742026574219000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1742026514180000000,1742026574219000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1742026514180000000,1742026574219000000,149
FilePageCache.pageLoadsAboveSizeThreshold,1742026514180000000,1742026574219000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1742026514180000000,1742026574219000000,689187
FlushQueue.executionTimeMaxNs,1742026514180000000,1742026574219000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1742026514180000000,1742026574219000000,355509
AWTEventQueue.dispatchTime90PNs,1742026514180000000,1742026574219000000,0
FlushQueue.tasksExecuted,1742026514180000000,1742026574219000000,0
AWTEventQueue.dispatchTimeAvgNs,1742026514180000000,1742026574219000000,0.0
FlushQueue.queueSizeMax,1742026514180000000,1742026574219000000,0
AWTEventQueue.dispatchTimeMaxNs,1742026514180000000,1742026574219000000,0
NonBlockingReadAction.failedExecutionsCount,1742026514180000000,1742026574219000000,1
FlushQueue.waitingTimeMaxNs,1742026514180000000,1742026574219000000,0
AWTEventQueue.eventsDispatched,1742026514180000000,1742026574219000000,0
FlushQueue.executionTime90PNs,1742026514180000000,1742026574219000000,0
NonBlockingReadAction.failedExecutionTimeUs,1742026514180000000,1742026574219000000,14571
NonBlockingReadAction.finalizedExecutionsCount,1742026514180000000,1742026574219000000,26
ReadAction.executionsCount,1742026514180000000,1742026574219000000,96337
FlushQueue.waitingTime90PNs,1742026514180000000,1742026574219000000,0
